GROUP	ID	T.0	T.0.5	T.1	T.1.5	T.2	T.3	T.4	T.5
2	1	4.3	3.3	3	2.6	2.2	2.5	3.4	4.4
2	2	3.7	2.6	2.6	1.9	2.9	3.2	3.1	3.9
2	3	4	4.1	3.1	2.3	2.9	3.1	3.9	4
2	4	3.6	3	2.2	2.8	2.9	3.9	3.8	4
2	5	4.1	3.8	2.1	3	3.6	3.4	3.6	3.7
2	6	3.8	2.2	2	2.6	3.8	3.6	3	3.5
2	7	3.8	3	2.4	2.5	3.1	3.4	3.5	3.7
2	8	4.4	3.9	2.8	2.1	3.6	3.8	4	3.9
2	9	5	4	3.4	3.4	3.3	3.6	4	4.3
2	10	3.7	3.1	2.9	2.2	1.5	2.3	2.7	2.8
2	11	3.7	2.6	2.6	2.3	2.9	2.2	3.1	3.9
2	12	4.4	3.7	3.1	3.2	3.7	4.3	3.9	4.8
2	13	4.7	3.1	3.2	3.3	3.2	4.2	3.7	4.3
1	14	4.3	3.3	3	2.6	2.2	2.5	2.4	3.4
1	15	5	4.9	4.1	3.7	3.7	4.1	4.7	4.9
1	16	4.6	4.4	3.9	3.9	3.7	4.2	4.8	5
1	17	4.3	3.9	3.1	3.1	3.1	3.1	3.6	4
1	18	3.1	3.1	3.3	2.6	2.6	1.9	2.3	2.7
1	19	4.8	5	2.9	2.8	2.2	3.1	3.5	3.6
1	20	3.7	3.1	3.3	2.8	2.9	3.6	4.3	4.4
1	21	5.4	4.7	3.9	4.1	2.8	3.7	3.5	3.7
1	22	3	2.5	2.3	2.2	2.1	2.6	3.2	3.5
1	23	4.9	5	4.1	3.7	3.7	4.1	4.7	4.9
1	24	4.8	4.3	4.7	4.6	4.7	3.7	3.6	3.9
1	25	4.4	4.2	4.2	3.4	3.5	3.4	3.8	4
1	26	4.9	4.3	4	4	3.3	4.1	4.2	4.3
1	27	5.1	4.1	4.6	4.1	3.4	4.2	4.4	4.9
1	28	4.8	4.6	4.6	4.4	4.1	4	3.8	3.8
1	29	4.2	3.5	3.8	3.6	3.3	3.1	3.5	3.9
1	30	6.6	6.1	5.2	4.1	4.3	3.8	4.2	4.8
1	31	3.6	3.4	3.1	2.8	2.1	2.4	2.5	3.5
1	32	4.5	4	3.7	3.3	2.4	2.3	3.1	3.3
1	33	4.6	4.4	3.8	3.8	3.8	3.6	3.8	3.8
